authIdHal_s,authFirstName_s,authLastName_s,authQuality_s,halId_s,title_s,docType_s,publicationDateY_i,publicationDate_s,doiId_s,acronym_s,affiliation_ref
1490993-1119871,Bénédicte,Colnet,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,1093353
1490993-1119871,Bénédicte,Colnet,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,89626
2500-754255,Julie,Josse,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,1114331
2500-754255,Julie,Josse,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,1100793
8362-5878,Gaël,Varoquaux,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,1093353
21755-520,Erwan,Scornet,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,89626
1490993-1119871,Bénédicte,Colnet,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,1093353
1490993-1119871,Bénédicte,Colnet,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,89626
2500-754255,Julie,Josse,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,1114331
2500-754255,Julie,Josse,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,1100793
8362-5878,Gaël,Varoquaux,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,1093353
21755-520,Erwan,Scornet,aut,hal-03822662,Reweighting the RCT for generalization: finite sample error and variable selection,ART,2024,2024-05-24,10.1093/jrsssa/qnae043,INSERM,89626
12181-170811,Carine,Milcent,aut,hal-04393210,La convergence tarifaire,UNDEFINED,2024,2024-01-14,,SHS,301309
12181-170811,Carine,Milcent,aut,hal-04393210,La convergence tarifaire,UNDEFINED,2024,2024-01-14,,SHS,301309
3053789-1292256,Jong,Jhee,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
2137121-1152226,Alice,Rogier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1004777
2137121-1152226,Alice,Rogier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
2137121-1152226,Alice,Rogier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
3053790-1351430,Dune,Giraud,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
2596929-1351431,Emma,Pinet,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
363250-1120787,Brigitte,Sabatier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
363250-1120787,Brigitte,Sabatier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
363250-1120787,Brigitte,Sabatier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1004777
17113-170889,Bastien,Rance,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,557826
17113-170889,Bastien,Rance,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
17113-170889,Bastien,Rance,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1004777
17113-170889,Bastien,Rance,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
11918-1742,Adrien,Coulet,crp,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
3053789-1292256,Jong,Jhee,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
2137121-1152226,Alice,Rogier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1004777
2137121-1152226,Alice,Rogier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
2137121-1152226,Alice,Rogier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
3053790-1351430,Dune,Giraud,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
2596929-1351431,Emma,Pinet,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
363250-1120787,Brigitte,Sabatier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
363250-1120787,Brigitte,Sabatier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
363250-1120787,Brigitte,Sabatier,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1004777
17113-170889,Bastien,Rance,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,557826
17113-170889,Bastien,Rance,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,300119
17113-170889,Bastien,Rance,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1004777
17113-170889,Bastien,Rance,aut,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
11918-1742,Adrien,Coulet,crp,hal-04455155,Representation and comparison of chemotherapy protocols with ChemoKG and graph embeddings,COMM,2024,2024-02-26,,EPHE,1067737
3055421-1352148,Ziyad,Oulhaj,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,1086798
3055421-1352148,Ziyad,Oulhaj,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,1088590
929110-737916,Mathieu,Carrière,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,446142
10274-11758,Bertrand,Michel,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,1086798
10274-11758,Bertrand,Michel,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,1088590
3055421-1352148,Ziyad,Oulhaj,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,1086798
3055421-1352148,Ziyad,Oulhaj,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,1088590
929110-737916,Mathieu,Carrière,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,446142
10274-11758,Bertrand,Michel,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,1086798
10274-11758,Bertrand,Michel,aut,hal-04457645,Differentiable mapper for topological optimization of data representation,COMM,2024,2024-07,,LMJL,1088590
2557923-1151872,Simon,Moulard,aut,hal-04465878,Outpatient pathway planning,COMM,2024,2024-03-04,,UNIV-TOURS,204893
20704-8475,Yannick,Kergosien,aut,hal-04465878,Outpatient pathway planning,COMM,2024,2024-03-04,,UNIV-TOURS,204893
38514-21678,Pierre,Desport,aut,hal-04465878,Outpatient pathway planning,COMM,2024,2024-03-04,,UNIV-TOURS,204893
2557923-1151872,Simon,Moulard,aut,hal-04465878,Outpatient pathway planning,COMM,2024,2024-03-04,,UNIV-TOURS,204893
20704-8475,Yannick,Kergosien,aut,hal-04465878,Outpatient pathway planning,COMM,2024,2024-03-04,,UNIV-TOURS,204893
38514-21678,Pierre,Desport,aut,hal-04465878,Outpatient pathway planning,COMM,2024,2024-03-04,,UNIV-TOURS,204893
12181-170811,Carine,Milcent,aut,hal-03960584,Bias due to re-used databases: Coding in hospital for extremely vulnerable patients,ART,2024,2024-06,10.1016/j.hlpt.2024.100851,SHS,301309
12181-170811,Carine,Milcent,aut,hal-03960584,Bias due to re-used databases: Coding in hospital for extremely vulnerable patients,ART,2024,2024-06,10.1016/j.hlpt.2024.100851,SHS,578027
12181-170811,Carine,Milcent,aut,hal-03960584,Bias due to re-used databases: Coding in hospital for extremely vulnerable patients,ART,2024,2024-06,10.1016/j.hlpt.2024.100851,SHS,301309
12181-170811,Carine,Milcent,aut,hal-03960584,Bias due to re-used databases: Coding in hospital for extremely vulnerable patients,ART,2024,2024-06,10.1016/j.hlpt.2024.100851,SHS,578027
155206-1177992,Patrick,Peretti-Watel,aut,hal-04512612,The use of AI in health. What is the opinion of the French?,OTHER,2024,2024-03,,SHS,527045
11550-742604,Emmanuel,Didier,aut,hal-04512612,The use of AI in health. What is the opinion of the French?,OTHER,2024,2024-03,,SHS,20824
